node_id,latitude,longitude
566,-7.1249488,-34.8670332
567,-7.1251847,-34.8665187
568,-7.125458,-34.8659477
569,-7.125703,-34.8654271
570,-7.129507,-34.8646
571,-7.1299861,-34.8648347
572,-7.1260877,-34.8642976
573,-7.1262187,-34.8643533
574,-7.1262494,-34.8630564
575,-7.1266057,-34.8632365
576,-7.1267139,-34.8632891
577,-7.1257217,-34.8641353
578,-7.1256798,-34.862764
579,-7.1254157,-34.8633263
580,-7.1259628,-34.8648774
581,-7.1246059,-34.8622665
582,-7.1256093,-34.8601073
583,-7.1251129,-34.8611882
584,-7.1248614,-34.8617139
585,-7.125942,-34.8622383
586,-7.1248438,-34.8597289
587,-7.1235241,-34.8700337
588,-7.1243145,-34.8704673
589,-7.1227934,-34.8689009
590,-7.123635,-34.8671765
591,-7.1245315,-34.8676274
592,-7.1241455,-34.8660484
593,-7.1237606,-34.866899
594,-7.1230756,-34.8668813
595,-7.122325,-34.8671146
596,-7.1230662,-34.8655321
597,-7.1222844,-34.8651621
598,-7.1197516,-34.8670573
599,-7.1198645,-34.8677371
600,-7.1207831,-34.8659011
601,-7.1207646,-34.865828
602,-7.1198522,-34.8671195
603,-7.1200991,-34.8672646
604,-7.1217708,-34.8682828
605,-7.1217781,-34.8662415
606,-7.1241069,-34.8633434
607,-7.1235905,-34.8644451
608,-7.1243504,-34.8627909
609,-7.1233031,-34.8629746
610,-7.1235666,-34.8624247
611,-7.1223782,-34.8625334
612,-7.1228054,-34.8640864
613,-7.1243242,-34.8607968
614,-7.1240793,-34.8613236
615,-7.1238168,-34.8618856
616,-7.1228946,-34.8614618
617,-7.121975,-34.8610233
618,-7.1226577,-34.8619701
619,-7.122478,-34.859941
620,-7.1222438,-34.8604399
621,-7.1197007,-34.8610032
622,-7.1213522,-34.8647247
623,-7.1205777,-34.864431
624,-7.1210994,-34.8606223
625,-7.1209769,-34.8618829
626,-7.1208831,-34.8645242
627,-7.1217262,-34.8622316
628,-7.1198032,-34.8618789
629,-7.1208013,-34.863153
630,-7.1213123,-34.8633863
631,-7.1217554,-34.8615181
632,-7.1210528,-34.8612003
633,-7.124731,-34.8579427
634,-7.1252704,-34.857451
635,-7.1261638,-34.8569245
636,-7.1253077,-34.8551967
637,-7.1257316,-34.856016
638,-7.1253324,-34.8501694
639,-7.1252967,-34.8532841
